run_id,domain,task,seed,avg3,final
cube-triple-play__task4__sd5,cube-triple-play,task4,sd5,0.0,0.0
humanoidmaze-large-navigate__task1__sd0,humanoidmaze-large-navigate,task1,sd0,0.7866666666666666,0.82
humanoidmaze-large-navigate__task1__sd1,humanoidmaze-large-navigate,task1,sd1,0.6933333333333334,0.78
humanoidmaze-large-navigate__task1__sd2,humanoidmaze-large-navigate,task1,sd2,0.7999999999999999,0.74
humanoidmaze-large-navigate__task1__sd3,humanoidmaze-large-navigate,task1,sd3,0.6333333333333333,0.68
humanoidmaze-large-navigate__task1__sd4,humanoidmaze-large-navigate,task1,sd4,0.7066666666666667,0.74
humanoidmaze-large-navigate__task1__sd5,humanoidmaze-large-navigate,task1,sd5,0.7133333333333334,0.56
humanoidmaze-large-navigate__task1__sd6,humanoidmaze-large-navigate,task1,sd6,0.6533333333333333,0.6
humanoidmaze-large-navigate__task1__sd7,humanoidmaze-large-navigate,task1,sd7,0.6533333333333333,0.58
humanoidmaze-large-navigate__task2__sd0,humanoidmaze-large-navigate,task2,sd0,0.03333333333333333,0.1
humanoidmaze-large-navigate__task2__sd1,humanoidmaze-large-navigate,task2,sd1,0.02666666666666667,0.02
humanoidmaze-large-navigate__task2__sd2,humanoidmaze-large-navigate,task2,sd2,0.05333333333333334,0.04
humanoidmaze-large-navigate__task2__sd3,humanoidmaze-large-navigate,task2,sd3,0.05333333333333334,0.1
humanoidmaze-large-navigate__task2__sd4,humanoidmaze-large-navigate,task2,sd4,0.02666666666666667,0.04
humanoidmaze-large-navigate__task2__sd5,humanoidmaze-large-navigate,task2,sd5,0.08666666666666667,0.1
humanoidmaze-large-navigate__task2__sd6,humanoidmaze-large-navigate,task2,sd6,0.04666666666666667,0.04
humanoidmaze-large-navigate__task2__sd7,humanoidmaze-large-navigate,task2,sd7,0.013333333333333334,0.0
humanoidmaze-large-navigate__task3__sd0,humanoidmaze-large-navigate,task3,sd0,0.20666666666666667,0.26
humanoidmaze-large-navigate__task3__sd1,humanoidmaze-large-navigate,task3,sd1,0.25333333333333335,0.24
humanoidmaze-large-navigate__task3__sd2,humanoidmaze-large-navigate,task3,sd2,0.3333333333333333,0.42
humanoidmaze-large-navigate__task3__sd3,humanoidmaze-large-navigate,task3,sd3,0.29333333333333333,0.3
humanoidmaze-large-navigate__task3__sd4,humanoidmaze-large-navigate,task3,sd4,0.32,0.34
humanoidmaze-large-navigate__task3__sd5,humanoidmaze-large-navigate,task3,sd5,0.44,0.46
humanoidmaze-large-navigate__task3__sd6,humanoidmaze-large-navigate,task3,sd6,0.26,0.26
humanoidmaze-large-navigate__task3__sd7,humanoidmaze-large-navigate,task3,sd7,0.43333333333333335,0.46
humanoidmaze-large-navigate__task4__sd0,humanoidmaze-large-navigate,task4,sd0,0.6066666666666667,0.68
humanoidmaze-large-navigate__task4__sd1,humanoidmaze-large-navigate,task4,sd1,0.2866666666666667,0.42
humanoidmaze-large-navigate__task4__sd2,humanoidmaze-large-navigate,task4,sd2,0.3466666666666667,0.32
humanoidmaze-large-navigate__task4__sd3,humanoidmaze-large-navigate,task4,sd3,0.4666666666666666,0.44
humanoidmaze-large-navigate__task4__sd4,humanoidmaze-large-navigate,task4,sd4,0.3133333333333333,0.38
humanoidmaze-large-navigate__task4__sd5,humanoidmaze-large-navigate,task4,sd5,0.52,0.56
humanoidmaze-medium-navigate__task1__sd0,humanoidmaze-medium-navigate,task1,sd0,0.98,1.0
humanoidmaze-medium-navigate__task1__sd1,humanoidmaze-medium-navigate,task1,sd1,0.9733333333333333,1.0
humanoidmaze-medium-navigate__task1__sd2,humanoidmaze-medium-navigate,task1,sd2,0.98,0.98
humanoidmaze-medium-navigate__task1__sd3,humanoidmaze-medium-navigate,task1,sd3,0.9666666666666667,0.96
humanoidmaze-medium-navigate__task1__sd4,humanoidmaze-medium-navigate,task1,sd4,0.9866666666666667,0.96
humanoidmaze-medium-navigate__task1__sd5,humanoidmaze-medium-navigate,task1,sd5,0.9733333333333333,0.98
humanoidmaze-medium-navigate__task1__sd6,humanoidmaze-medium-navigate,task1,sd6,0.9733333333333333,0.98
humanoidmaze-medium-navigate__task1__sd7,humanoidmaze-medium-navigate,task1,sd7,0.9866666666666667,0.98
humanoidmaze-medium-navigate__task2__sd0,humanoidmaze-medium-navigate,task2,sd0,0.9866666666666667,1.0
humanoidmaze-medium-navigate__task2__sd1,humanoidmaze-medium-navigate,task2,sd1,0.9866666666666667,1.0
humanoidmaze-medium-navigate__task2__sd2,humanoidmaze-medium-navigate,task2,sd2,0.9933333333333333,1.0
humanoidmaze-medium-navigate__task2__sd3,humanoidmaze-medium-navigate,task2,sd3,0.9933333333333333,1.0
humanoidmaze-medium-navigate__task2__sd4,humanoidmaze-medium-navigate,task2,sd4,1.0,1.0
humanoidmaze-medium-navigate__task2__sd5,humanoidmaze-medium-navigate,task2,sd5,0.9866666666666667,0.98
humanoidmaze-medium-navigate__task2__sd6,humanoidmaze-medium-navigate,task2,sd6,0.9933333333333333,1.0
humanoidmaze-medium-navigate__task2__sd7,humanoidmaze-medium-navigate,task2,sd7,1.0,1.0
